N,gpu,code,solver_mean,solver_std,total_mean,total_std,matvec_mean,matvec_std,overlay_total_mean,overlay_total_std
150,NVIDIA A100,ADDA,11.007533333333333,0.014266160427154421,13.951633333333334,0.012872192250480571,5.926099999999999,0.007044856279584206,,
150,NVIDIA H200,ADDA,15.1581,0.0318259328221499,18.326633333333334,0.037582753136689816,4.897233333333333,0.008277882176821162,,
150,RTX 6000 Ada,ADDA,21.825566666666663,0.31111734656449685,25.588866666666664,0.537406153047519,8.461433333333334,0.049361557241778514,,
150,RTX 2000 Ada,ADDA,40.107166666666664,0.30850254996244647,43.5739,0.3548368216518695,32.993433333333336,0.30082661673018835,,
250,NVIDIA A100,ADDA,57.62756666666667,0.9311130239306796,71.5466,0.9273726489389255,34.24243333333333,0.933148628747496,,
250,NVIDIA H200,ADDA,74.82213333333333,0.22297655332643196,91.07459999999999,0.2592028356326372,25.138433333333335,0.10733407349641182,,
250,RTX 6000 Ada,ADDA,102.08763333333332,0.3898071488997258,121.16283333333335,0.5327349653752183,41.851866666666666,0.04476899969100833,,
250,RTX 2000 Ada,ADDA,222.1795,1.4713426555360964,240.35036666666667,0.6790253775326369,189.66049999999998,1.437115447693754,,
150,NVIDIA A100,IFDDA DP,3.1656666666666666,0.003055050463303993,11.926333333333332,0.020502032419575624,,,5.489,0.021656407827707832
150,NVIDIA A100,IFDDA SP,2.5500000000000003,0.006000000000000005,11.296666666666667,0.018929694486000823,,,4.862666666666667,0.027319101986217027
150,NVIDIA H200,IFDDA DP,2.353333333333333,0.0136503968196287,9.345666666666666,0.0266895734947817,,,4.156666666666667,0.01205542754668344
150,NVIDIA H200,IFDDA SP,2.459,0.018248287590894585,9.452333333333334,0.020305992547356926,,,4.273666666666666,0.03438507428134087
150,RTX 6000 Ada,IFDDA DP,6.8103333333333325,0.0882175341603548,15.613999999999999,0.10548459603183805,,,7.928333333333334,0.0028867513459480674
150,RTX 6000 Ada,IFDDA SP,3.308,0.18931191193371838,11.757666666666665,0.19640349623500464,,,4.316,0.004358898943540601
150,RTX 2000 Ada,IFDDA DP,27.592,0.026851443164195108,35.72466666666667,0.30110850757382207,,,29.458,0.146642422238587
150,RTX 2000 Ada,IFDDA SP,7.987333333333332,0.03987898360456619,16.07466666666667,0.20060990337800755,,,9.700666666666667,0.06882102391953612
250,NVIDIA A100,IFDDA DP,15.487333333333332,0.02872861523522017,55.065000000000005,0.08679285684893583,,,25.236333333333334,0.18289158901746524
250,NVIDIA A100,IFDDA SP,10.475,0.005196152422706829,50.107,0.13907192383798955,,,20.098000000000003,0.03666060555964656
250,NVIDIA H200,IFDDA DP,8.559666666666667,0.007767453465153879,40.158,0.04629254799641023,,,15.419333333333332,0.017785762095939347
250,NVIDIA H200,IFDDA SP,8.988666666666667,0.018502252115170544,40.592999999999996,0.042225584661437214,,,15.832666666666668,0.11115004873293324
250,RTX 6000 Ada,IFDDA DP,27.489333333333335,0.024440403706430004,69.53633333333333,0.24098616834443423,,,32.90266666666667,0.07112196097784089
250,RTX 6000 Ada,IFDDA SP,15.491,0.09273079315955453,56.35566666666667,1.0259660488209803,,,20.897000000000002,0.058847259919217944
250,RTX 2000 Ada,IFDDA DP,,,,,,,,
250,RTX 2000 Ada,IFDDA SP,,,,,,,,
