N,OMP,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,1,0.56081363047393618,8.5175681122978179E-005,2.4729875277389057E-011,3:08.84,54,110,188.55400000000000     ,179.78200000000001     
150,2,0.56081363048872612,8.6506417242846842E-005,2.4729875277332961E-011,2:07.62,54,110,127.33400000000000     ,123.21100000000000     
150,5,0.56081363049094091,8.6176145481816436E-005,2.4729875277342990E-011,1:09.76,54,110,69.483000000000004     ,67.459000000000003     
150,10,0.56081363048981403,8.1584493292628015E-005,2.4729875277363512E-011,1:19.22,54,110,78.942999999999998     ,77.215999999999994     
150,15,0.56081363048870403,8.4213967680895959E-005,2.4729875277423201E-011,1:33.09,54,110,92.799000000000007     ,91.280000000000001     
150,22,0.56081363048818977,8.6195722083184394E-005,2.4729875277399904E-011,0:54.94,54,110,54.645000000000003     ,53.188000000000002     
250,1,0.56080939496951732,8.1948408622676476E-005,2.4730049766924467E-011,16:38.26,54,110,997.32299999999998     ,957.70200000000000     
250,2,0.56080939497273985,8.4464756792627734E-005,2.4730049766666351E-011,10:12.99,54,110,611.95399999999995     ,592.91800000000001     
250,5,0.56080939498227689,8.4217124390463828E-005,2.4730049767000299E-011,5:35.28,54,110,334.26900000000001     ,324.76700000000000     
250,10,0.56080939499823934,8.1491875826217265E-005,2.4730049766951751E-011,4:47.78,54,110,286.74000000000001     ,279.01200000000000     
250,15,0.56080939499846294,8.1403224907141555E-005,2.4730049767107810E-011,4:27.64,54,110,266.65100000000001     ,259.82900000000001     
250,22,0.56080939499812521,8.2958897274776697E-005,2.4730049767112169E-011,4:10.09,54,110,249.04700000000000     ,242.55699999999999     
