N,NP,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,1,5.60813630483392389E-01,8.89339106797913670E-05,24.729875277346014,3.5890128352901587,2:19.37,54,107,137.0192,131.1160,124.2590
150,2,5.60813630489967130E-01,9.24953003645230906E-05,24.72987527738487,3.5890128352957977,1:35.84,54,107,95.4191,91.8402,87.3065
150,5,5.60813630489389259E-01,8.98664534528749903E-05,24.729875277383822,3.5890128352956459,1:00.87,54,107,60.4582,58.1804,54.7878
150,10,5.60813630487582815E-01,8.94772989800478292E-05,24.729875277374298,3.5890128352942634,1:05.45,54,107,65.0428,62.6400,59.5515
150,15,5.60813630488357417E-01,9.27661406643371246E-05,24.729875277392328,3.58901283529688,1:03.07,54,107,62.6422,60.3047,57.1295
250,1,5.60809394951158890E-01,9.20196014380826469E-05,24.730049767024436,3.5890381587375462,14:08.83,54,107,846.5008,819.6373,787.8621
250,2,5.60809395002360045E-01,9.05109793090529851E-05,24.730049767521585,3.5890381588096969,9:32.86,54,107,572.4508,555.9804,533.5076
250,5,5.60809394986042764E-01,9.09471352623377025E-05,24.73004976652782,3.5890381586654732,6:05.50,54,107,365.0824,355.4432,338.8838
250,10,5.60809395002060396E-01,8.99195877749081900E-05,24.730049767015974,3.5890381587363178,5:35.02,54,107,334.5898,324.9282,310.7003
250,15,5.60809395000495647E-01,9.03508313478522271E-05,24.730049767383008,3.589038158789585,5:55.73,54,107,355.3142,343.9142,328.0011
